NAME,DEVICE,MOUNTPOINT,SIZE,TYPE,OPTIONS
node207,md0,/,0,ext4,--level=RAID1 raid.01 raid.02
,md1,pv.01,0,lvm,--level=RAID1 raid.03 raid.04
,md2,pv.02,0,lvm,--level=RAID0 raid.05 raid.06
,sda,biosboot,1,biosboot,
,sdb,biosboot,1,biosboot,
,sda,raid.01,16000,raid,
,sdb,raid.02,16000,raid,
,sda,raid.03,16000,raid,
,sdb,raid.04,16000,raid,
,sda,raid.05,0,raid,
,sdb,raid.06,0,raid,
,pv.01,volgrp01,0,volgroup,
,pv.02,volgrp02,0,volgroup,
,volgrp01,/var,0,xfs,--name=var
,volgrp02,/export,0,xfs,--name=export
